rsprot packet-codec generation status
revisions 221-239; 209 packets emitted, 2 refused

--- emitted (prot, file, dir, layouts, revisions covered) ---
  OK   ACCOUNT_FLAGS                    account_flags.c out   1 layout(s)  7 rev(s)
  OK   AFFINEDCLANSETTINGS_ADDBANNED_FROMCHANNEL affinedclansettings_addbanned_fromchannel.c in    1 layout(s) 19 rev(s)
  OK   AMBIENTSOUND_START               ambientsound_start.c out   1 layout(s)  2 rev(s)
  OK   AMBIENTSOUND_STOP                ambientsound_stop.c out   2 layout(s)  2 rev(s)
  OK   ANIM_SPECIFIC                    anim_specific.c out  15 layout(s) 19 rev(s)
  OK   BUG_REPORT                       bug_report.c in    2 layout(s) 19 rev(s)
  OK   CAM_LOOKAT                       cam_lookat.c out   2 layout(s) 15 rev(s)
  OK   CAM_LOOKAT_CYCLES                cam_lookat_cycles.c out   1 layout(s)  1 rev(s)
  OK   CAM_LOOKAT_EASED_ANGLE_ABSOLUTE  cam_lookat_eased_angle_absolute.c out   1 layout(s)  2 rev(s)
  OK   CAM_LOOKAT_EASED_ANGLE_RELATIVE  cam_lookat_eased_angle_relative.c out   1 layout(s)  2 rev(s)
  OK   CAM_LOOKAT_V1                    cam_lookat_v1.c out   1 layout(s)  1 rev(s)
  OK   CAM_LOOKAT_V2                    cam_lookat_v2.c out   4 layout(s)  4 rev(s)
  OK   CAM_LOOKAT_V3                    cam_lookat_v3.c out   1 layout(s)  1 rev(s)
  OK   CAM_MODE                         cam_mode.c out   1 layout(s) 19 rev(s)
  OK   CAM_MOVETO                       cam_moveto.c out   2 layout(s) 15 rev(s)
  OK   CAM_MOVETO_ARC_V1                cam_moveto_arc_v1.c out   1 layout(s)  1 rev(s)
  OK   CAM_MOVETO_ARC_V2                cam_moveto_arc_v2.c out   4 layout(s)  4 rev(s)
  OK   CAM_MOVETO_ARC_V3                cam_moveto_arc_v3.c out   1 layout(s)  1 rev(s)
  OK   CAM_MOVETO_CYCLES                cam_moveto_cycles.c out   1 layout(s) 13 rev(s)
  OK   CAM_MOVETO_CYCLES_V1             cam_moveto_cycles_v1.c out   1 layout(s)  1 rev(s)
  OK   CAM_MOVETO_CYCLES_V2             cam_moveto_cycles_v2.c out   4 layout(s)  4 rev(s)
  OK   CAM_MOVETO_CYCLES_V3             cam_moveto_cycles_v3.c out   1 layout(s)  1 rev(s)
  OK   CAM_MOVETO_V1                    cam_moveto_v1.c out   1 layout(s)  1 rev(s)
  OK   CAM_MOVETO_V2                    cam_moveto_v2.c out   4 layout(s)  4 rev(s)
  OK   CAM_MOVETO_V3                    cam_moveto_v3.c out   1 layout(s)  1 rev(s)
  OK   CAM_RESET                        cam_reset.c out   1 layout(s) 19 rev(s)
  OK   CAM_ROTATEBY                     cam_rotateby.c out   1 layout(s) 17 rev(s)
  OK   CAM_ROTATETO                     cam_rotateto.c out   1 layout(s) 17 rev(s)
