id,area,scenario,expected,status,evidence,harness,notes
SAIL-01,spawn,A vessel is spawned in a scripted arena with a player in range,The spawn tick carries WORLDENTITY_INFO for the new hull,PASS,".sailtmp/selftest_run9.log:1208 section ""a vessel spawns and its deck projection round-trips"" (exit 0, 0 FAIL); check ""the spawn tick sends WORLDENTITY_INFO"" @ src/torirsserver/torirs_server_world_selftest.c",torirsserver --selftest,
SAIL-02,spawn,The spawn packet is read back by the client's own decoder,"Every byte is consumed; no positional records on the spawn tick, exactly one spawn trailer",PASS,"checks ""the client's own read consumes the packet exactly, %d byte(s) left over"", ""with no positional records on the spawn tick, got %d"", ""and exactly one spawn trailer, got %d"" @ src/torirsserver/torirs_server_world_selftest.c; .sailtmp/selftest_run9.log",torirsserver --selftest,"Wire-level round trip through the same reader the client links, not a parallel test decoder."
SAIL-03,spawn,The trailer names the hull's view id,The id is a registry slot the client will accept (below the 16-view bound),PASS,"checks ""the trailer names the hull's view id %d, got %d"", ""which has to be a registry slot the client will accept"" @ src/torirsserver/torirs_server_world_selftest.c",torirsserver --selftest,
SAIL-04,spawn,The trailer's size nibbles describe a 6x12 hull's deck,"Zone counts, x first, matching the deck's 1x2 zone reservation",PASS,"checks ""the size nibbles are the deck's zone counts, x first"", ""whose deck reserves 1x2 zones, got %dx%d"" @ src/torirsserver/torirs_server_world_selftest.c",torirsserver --selftest,
SAIL-05,spawn,The trailer carries the hull's placement and its menu ops,"ABSOLUTE root position, no height, the hull's yaw; flag bit 0x2 and a mask reading back as all five ops",PASS,"checks ""the trailer's transform is the ABSOLUTE position (%d,%d), got (%d,%d)"", ""with no height, got %d"", ""and the hull's yaw, got %d"", ""flag bit 0x2 announces the op mask, got 0x%x"", ""which reads back as all five ops, got %d"" @ src/torirsserver/torirs_server_world_selftest.c",torirsserver --selftest,
SAIL-06,spawn,Client decodes a hand-built WORLDENTITY_INFO spawn trailer,Sizes/absolute transform/seq all decode,PASS,".sailtmp/test_wev.log ""ok - WORLDENTITY_INFO spawn trailer (sizes, absolute transform, seq)""",make test-wev,src/world/test/wev_test.c
SAIL-07,spawn,WevConfig is decoded from config archive 72 of the real cache and its footprint corners baked,The archive exists and decodes (OQ1); rotated footprint tiles agree at all 16 headings,PASS,".sailtmp/test_wev.log ""ok - archive-72 WevConfig decode against ../cache.osrs239 (14 records, 4 pinned)"", ""ok - WevConfig synthetic decode + corner bake"", ""ok - rotated footprint tiles (heading, floor, margin ordering)""",make test-wev,Run against cache.osrs239.sparse (junctioned in as ../cache.osrs239) — no fully populated cache.osrs239 exists on this machine. It holds 14 hull configs.
SAIL-08,spawn,Two hulls are live at once in the same player's view,"Both views spawn, both decks build, neither steals the other's registry slot",PASS,"live run 2026-08-26: back-to-back ::vesselspawn cheats (skiff + 6x12 hull) put both views in the registry, both decks rebuilt and drew in one frame; TORIRS_WEV_DEBUG names both view ids; the C4 budget run (SAIL-31) rides this same fixture","torirs --manifest manifests/manifest_osrs239_sailing.ini + TORIRS_NET_CHEAT",Server-side each hull owns its own vessel deck window (pool slots 9..16).
SAIL-09,deck-scene,The deck map is pushed on the spawn tick,"REBUILD_WORLDENTITY bracketed by two SET_ACTIVE_WORLD selects, the second returning the cursor to root",PASS,"checks ""the deck map is bracketed by two world selects"", ""the first names the hull's view %d, got %d"", ""and the second puts the cursor back on the root, got %d"" @ src/torirsserver/torirs_server_world_selftest.c",torirsserver --selftest,
SAIL-10,deck-scene,The rebuild addresses the deck and sizes its descriptor grid,"The deck's SW tile, zone-aligned, naming the one source map square; grid bits over the zone count and the packet length matching",PASS,"checks ""its header is the deck's SW tile (%d,%d), got (%d,%d)"", ""zone-aligned, as the client asserts"", ""and names the one source map square the deck came from, got %d"", ""the descriptor grid is %d bits over %dx%d zones, so the packet is %d bytes, got %d"" @ src/torirsserver/torirs_server_world_selftest.c",torirsserver --selftest,
SAIL-11,deck-scene,Client parses REBUILD_WORLDENTITY_V4,"Raw-carry parse arm plus the view-sized bit-grid decode, whole-stream rejection on a bad grid",PASS,".sailtmp/test_wev_rebuild.log ""ok - REBUILD_WORLDENTITY parse carry + view-sized grid decode""",make test-wev-rebuild,src/world/test/wev_rebuild_test.c
SAIL-12,deck-scene,A 1-zone raft deck is rebuilt into the boat world against the real cache,"Tile heights and locs land in the boat world, not the root",PASS,".sailtmp/test_wev_rebuild.log ""ok - 1-zone raft deck rebuilt into the boat world against ../cache.osrs239""",make test-wev-rebuild,
