npc_id,npc_name,gameval,models,seed_seqs,framemaps,rig_match_seqs,rig_match_skeletal,animaya_skinned,strict_covers,name_match_seqs,name_matches_outside_rig
0,Tool Leprechaun,farming_tools_leprechaun,56206,2904 12042,2402,98,0,false,true,34,32
1,Molanisk,molanisk,23855,6010 6011,1392,13,0,false,true,9,1
2,Aberrant spectre,slayer_abberant_spectre_1,5085,1506 1505,815,5,0,false,true,40,40
3,Aberrant spectre,slayer_abberant_spectre_2,5085,1506 1505,815,5,0,false,true,40,40
4,Aberrant spectre,slayer_abberant_spectre_3,5085,1506 1505,815,5,0,false,true,40,40
5,Aberrant spectre,slayer_abberant_spectre_4,5085,1506 1505,815,5,0,false,true,40,40
6,Aberrant spectre,slayer_aberrantspectre_1_strongholdcave,5085,1506 1505,815,5,0,false,true,40,40
7,Aberrant spectre,slayer_aberrantspectre_2_strongholdcave,5085,1506 1505,815,5,0,false,true,40,40
8,Nechryael,slayer_nechryael,5074,1527 1526,802,6,0,false,true,40,40
9,Skylark,sailing_skylark,59427,13236,2248,35,0,false,true,40,40
10,Death spawn,slayer_nechryael_spawn,5100 4978 171 180 278 182 5079,1539,0,3905,0,false,false,40,20
11,Nechryael,slayer_nechryael_strongholdcave,5074,1527 1526,802,6,0,false,true,40,40
12,Hudo,gnome_hudo,41971 56179 56139,2331 12042,2402,98,0,false,false,40,7
13,Piles,wilderness_resource_certer,215 247 7611 27154 176 28285 181 8954,808 819 820 821 822,0,3905,0,false,true,3,2
14,Rometti,gnome_rometti,12163 56179 56151,2331 12042,2402,98,0,false,true,40,7
15,Gulluck,gnome_gulluck,56117 56179 56139,2331 12042,2402,98,0,false,true,40,7
16,Heckel Funch,gnome_heckelfunch,41971 56179 56139,2331 12042,2402,98,0,false,false,40,7
17,Rug Merchant,magic_carpet_seller1,7743 230 247 280 5221 26619 176 265 4955,808 819 820 821 822,0,3905,0,false,true,9,0
18,Rug Merchant,magic_carpet_seller2,7743 215 248 28551 27139 176 6090 4954,808 819 820 821 822,0,3905,0,false,true,9,0
19,Rug Merchant,magic_carpet_seller3,7743 235 249 28515 26632 176 6090 185,808 819 820 821 822,0,3905,0,false,true,9,0
20,Rug Merchant,magic_carpet_seller4,7743 215 6087 28515 26630 176 5441,1144,0,3905,0,false,false,9,0
21,,magic_carpet_seller5,,1144,0,3905,0,false,true,9,0
22,Rug Merchant,magic_carpet_seller8,7743 215 248 28551 27139 176 6090 4954,808 819 820 821 822,0,3905,0,false,true,9,0
23,Monkey,magic_carpet_monkey,7744,222 219,320,6,0,false,true,40,35
24,,magic_carpet_multi_monkey1,,222 219,320,6,0,false,true,40,35
25,,magic_carpet_multi_monkey2,,222 219,320,6,0,false,true,40,35
26,Zombie,zombie_unarmed,21104 21057 21037 21086 21113 21073 21140,5565 5566 5790 5788 5789,1288,50,0,false,true,40,40
27,Zombie,zombie_unarmed2,21102 21058 21040 21087 21116 21073 21140,5565 5566 5790 5788 5789,1288,50,0,false,true,40,40
28,Zombie,zombie_unarmed3,21105 21059 21041 21088 21117 21073 21140,5565 5566 5790 5788 5789,1288,50,0,false,true,40,40
29,Zombie,zombie_unarmed4,21003 20972 20953 20991 21015 20983 21036,5565 5566 5790 5788 5789,1288,50,0,false,true,40,40
30,Zombie,zombie_unarmed5,21002 20973 20954 20992 21016 20984 21036,5565 5566 5790 5788 5789,1288,50,0,false,true,40,40
31,Zombie,zombie_unarmed6,21004 20974 20955 20990 21017 20985 21036,5565 5566 5790 5788 5789,1288,50,0,false,true,40,40
32,Zombie,zombie_unarmed_city1,21103 21055 21039 21084 21115 21075 21140,5565 5566 5790 5788 5789,1288,50,0,false,true,40,40
33,Zombie,zombie_unarmed_city2,21106 21060 21042 21089 21118 21076 21140,5565 5566 5790 5788 5789,1288,50,0,false,true,40,40
