region_id	square_x	square_z	sw_tile_x	sw_tile_z	track_name	song_archive_name
1154	4	130	256	8320	Jungly 1	jungly1
4883	19	19	1216	1216	Maws, Jaws & Claws	maws_jaws_claws
5139	20	19	1280	1216	That Sullen Hall	that_sullen_hall
5140	20	20	1280	1280	Maws, Jaws & Claws	maws_jaws_claws
5395	21	19	1344	1216	Maws, Jaws & Claws	maws_jaws_claws
6234	24	90	1536	5760	Close Quarters	close quarters
6454	25	54	1600	3456	Country Jig	unknown
6461	25	61	1600	3904	The Doors of Dinh	477
6462	25	62	1600	3968	Ice and Fire	483
6475	25	75	1600	4800	Grimly Fiendish	grimly_fiendish
6731	26	75	1664	4800	Grimly Fiendish	grimly_fiendish
6992	27	80	1728	5120	The Mad Mole	the mad mole
7236	28	68	1792	4352	Dagannoth Dawn	dagannoth dawn
7492	29	68	1856	4352	Xenophobe	xenophobe
7496	29	72	1856	4608	Temple of Light	temple of light
7499	29	75	1856	4800	Trawler	trawler
7504	29	80	1856	5120	Head to Head	head to head
7507	29	83	1856	5312	Chef Surprise	chef surprize
7748	30	68	1920	4352	Dagannoth Dawn	dagannoth dawn
7752	30	72	1920	4608	Fight or Flight	fight or flight
7753	30	73	1920	4672	Bubble and Squeak	bubble and squeak
7754	30	74	1920	4736	The Quizmaster	the quizmaster
7755	30	75	1920	4800	Trawler Minor	trawler minor
7757	30	77	1920	4928	Have a Blast	have a blast
8005	31	69	1984	4416	Diango's Little Helpers	diango's little helpers
8010	31	74	1984	4736	Artistry	artistry
8014	31	78	1984	4992	Waterlogged	waterlogged
8261	32	69	2048	4416	In the Clink	in the clink
8396	32	204	2048	13056	Riverside	riverside
8497	33	49	2112	3136	Meridian	meridian
8498	33	50	2112	3200	Woodland	woodland
8499	33	51	2112	3264	Everywhere	everywhere
8519	33	71	2112	4544	Iban	iban
8523	33	75	2112	4800	Stratosphere	stratosphere
8526	33	78	2112	4992	Shadowland	shadowland
8527	33	79	2112	5056	Aye Car Rum Ba	aye car rum ba
8528	33	80	2112	5120	Blistering Barnacles	blistering barnacles
8751	34	47	2176	3008	Thrall of the Serpent	thrall_of_the_serpent
8752	34	48	2176	3072	Exposed	exposed
8779	34	75	2176	4800	La Mort	la mort
8781	34	77	2176	4928	Competition	competition
8782	34	78	2176	4992	Stagnant	stagnant
9007	35	47	2240	3008	Coil	coil
9008	35	48	2240	3072	Lost Soul	lost soul
9009	35	49	2240	3136	Forest	forest
9010	35	50	2240	3200	Breeze	breeze
9011	35	51	2240	3264	Creature Cruelty	creature cruelty
9033	35	73	2240	4672	Attack 5	attack5
9034	35	74	2240	4736	Hermit	hermit
9035	35	75	2240	4800	Complication	complication
9038	35	78	2240	4992	Natural	natural
9263	36	47	2304	3008	Romper Chomper	romper chomper
9265	36	49	2304	3136	Far Away	far away
9266	36	50	2304	3200	Elven Mist	elven mist
9267	36	51	2304	3264	Overpass	overpass
9268	36	52	2304	3328	Tree Spirits	tree spirits
9269	36	53	2304	3392	Gnome Village 2	gnome village2
9270	36	54	2304	3456	Gnomeball	gnomeball
9272	36	56	2304	3584	Making Waves	making waves
9273	36	57	2304	3648	Making Waves	making waves
9275	36	59	2304	3776	Volcanic Vikings	volcanic vikings
9293	36	77	2304	4928	Claustrophobia	claustrophobia
9294	36	78	2304	4992	Dead Quiet	dead quiet
9366	36	150	2304	9600	Well Of Voyage	well of voyage
9369	36	153	2304	9792	Intrepid	intrepid
9520	37	48	2368	3072	Castlewars	castlewars
9521	37	49	2368	3136	Serenade	serenade
9523	37	51	2368	3264	Moody	moody
9540	37	68	2368	4352	Faerie	faerie
9545	37	73	2368	4672	Voodoo Cult	voodoo cult
9547	37	75	2368	4800	Understanding	understanding
9551	37	79	2368	5056	TzHaar!	tzhaar
9552	37	80	2368	5120	Fire and Brimstone	fire and brimstone
